id,x,y,macro_node,macro_link_id,in_out,layer_id,split
192,11625.661020699918,-15565.803632223595,53396700923,5339670092312949,out,0,
193,11625.801231866142,-15565.906074980649,53396700923,5339670092312949,in,0,
194,11622.327084744564,-15569.53245763188,53396700924,5339670092300924,out,0,
195,11622.455298772098,-15569.649568061604,53396700924,5339670092300924,in,0,
196,9541.453622633304,-14150.361691477916,53396701015,5339670101514131,out,0,
197,9541.287450549611,-14150.412095130647,53396701015,5339670101514131,in,0,
198,9878.738999741206,-15010.590630829405,53396701057,5339670105779888,out,0,
199,9878.88633215729,-15010.682537568971,53396701057,5339670105779888,in,0,
200,12398.989794252178,-14659.435738139146,53396701060,5339670106011453,out,0,
201,12398.902968051323,-14659.586120652928,53396701060,5339670106011453,in,0,
202,12398.261512591116,-14658.836691180059,53396701060,5339670106011458,out,0,
203,12398.423493275375,-14658.774113647873,53396701060,5339670106011458,in,0,
204,12398.024801451296,-14659.195240719679,53396701060,5339670106013493,out,0,
205,12398.078426399097,-14659.030080026472,53396701060,5339670106013493,in,0,
206,12398.634618067643,-14659.751395192248,53396701060,5339670106013562,out,0,
207,12398.461250541091,-14659.761263846887,53396701060,5339670106013562,in,0,
208,12398.569217139377,-14658.767154606174,53396701060,5339670106073154,out,0,
209,12398.736423877723,-14658.814011796218,53396701060,5339670106073154,in,0,
210,10642.644268528886,-14107.426981359804,53396701061,5339670106101389,out,0,
211,10642.817905763834,-14107.428930781967,53396701061,5339670106101389,in,0,
212,10642.705463671853,-14108.419924920883,53396701061,5339670106112369,out,0,
213,10642.535803689032,-14108.38292249074,53396701061,5339670106112369,in,0,
214,12799.66123011719,-14386.401122132898,53396701105,5339670065901105,out,0,
215,12799.535540209677,-14386.281306705025,53396701105,5339670065901105,in,0,
216,11245.81802989078,-14642.77812729806,53396701286,5339670021401286,out,0,
217,11245.693921995782,-14642.656673932495,53396701286,5339670021401286,in,0,
218,11246.457678668294,-14642.015713232187,53396701286,5339670128612471,out,0,
219,11246.555756199992,-14642.159011827376,53396701286,5339670128612471,in,0,
220,11245.600616541737,-14642.349905745315,53396701286,5339670128672499,out,0,
221,11245.636080672872,-14642.17991755452,53396701286,5339670128672499,in,0,
222,11246.600033142682,-14642.347013977867,53396701286,5339670128680391,out,0,
223,11246.576214120589,-14642.519020791087,53396701286,5339670128680391,in,0,
224,11288.01770447841,-15075.556261724814,53396701287,5339670128710749,out,0,
225,11288.142515392095,-15075.435530927452,53396701287,5339670128710749,in,0,
226,11288.832123484715,-15076.136477274264,53396701287,5339670128710770,out,0,
227,11288.709373517166,-15076.259302902998,53396701287,5339670128710770,in,0,
228,11288.127430794173,-15076.253496178755,53396701287,5339670128713488,out,0,
229,11288.007156173457,-15076.128245609021,53396701287,5339670128713488,in,0,
230,11288.91634100589,-15075.77183650496,53396701287,5339670128772621,out,0,
231,11288.913226588535,-15075.94545675151,53396701287,5339670128772621,in,0,
232,11157.153318465447,-15309.038176097069,53396701293,5339670129310758,out,0,
233,11157.100316161506,-15309.20353765664,53396701293,5339670129310758,in,0,
234,11156.158663886039,-15308.94313858528,53396701293,5339670129312946,out,0,
235,11156.198151336408,-15308.774039706306,53396701293,5339670129312946,in,0,
236,11156.714245343206,-15308.473745034438,53396701293,5339670129313487,out,0,
237,11156.880769181487,-15308.522974099946,53396701293,5339670129313487,in,0,
238,11156.565669247766,-15309.461979122325,53396701293,5339670129372508,out,0,
239,11156.4031573566,-15309.400794362484,53396701293,5339670129372508,in,0,
240,12046.496509172817,-14295.611034887483,53396701300,5339670130012576,out,0,
241,12046.506407679295,-14295.437669062776,53396701300,5339670130012576,in,0,
242,12047.006665347253,-14296.052235490231,53396701300,5339670130013692,out,0,
243,12046.834898178475,-14296.026745701365,53396701300,5339670130013692,in,0,
244,12047.487770056543,-14295.479869958275,53396701300,5339670130013998,out,0,
