node_id,x_coord,y_coord,macro_node_id,macro_link_id,in_out,layer_id,split,node_type,modes,geometry,name,osm_node_id,ctrl_type,is_boundary,activity_type,poi_id,zone_id,notes,parent_node_id
39,139.64619547461797,35.69878524491546,119,196,in,0,,intersection_in,vehicle,POINT (139.64619547461797 35.69878524491546),,440091868,,0.0,residential,,,,119.0
40,139.64620151509885,35.69879057935228,119,207,out,0,,intersection_out,vehicle,POINT (139.64620151509885 35.69879057935228),,440091868,,0.0,residential,,,,119.0
41,139.64619959983952,35.69879048081927,119,207,in,0,,intersection_in,vehicle,POINT (139.64619959983952 35.69879048081927),,440091868,,0.0,residential,,,,119.0
42,139.64620035814895,35.69878161435806,119,201,out,0,,intersection_out,vehicle,POINT (139.64620035814895 35.69878161435806),,440091868,,0.0,residential,,,,119.0
43,139.6462022716279,35.69878173370558,119,201,in,0,,intersection_in,vehicle,POINT (139.6462022716279 35.69878173370558),,440091868,,0.0,residential,,,,119.0
44,139.64617628490078,35.69909202064779,120,207,out,0,,intersection_out,vehicle,POINT (139.64617628490078 35.69909202064779),,1173913780,,0.0,residential,,,,120.0
45,139.64617820016724,35.699092119181316,120,207,in,0,,intersection_in,vehicle,POINT (139.64617820016724 35.699092119181316),,1173913780,,0.0,residential,,,,120.0
46,139.6461774816796,35.69910098232177,120,203,out,0,,intersection_out,vehicle,POINT (139.6461774816796 35.69910098232177),,1173913780,,0.0,residential,,,,120.0
47,139.64617556718323,35.69910087428546,120,203,in,0,,intersection_in,vehicle,POINT (139.64617556718323 35.69910087428546),,1173913780,,0.0,residential,,,,120.0
48,139.646182392527,35.699096006492134,120,7663,out,0,,intersection_out,vehicle,POINT (139.646182392527 35.699096006492134),,1173913780,,0.0,residential,,,,120.0
49,139.64618226821273,35.69909756859566,120,7663,in,0,,intersection_in,vehicle,POINT (139.64618226821273 35.69909756859566),,1173913780,,0.0,residential,,,,120.0
50,139.64615560958535,35.69947163898612,121,199,out,0,,intersection_out,vehicle,POINT (139.64615560958535 35.69947163898612),,440092766,,0.0,residential,,,,121.0
51,139.64615752774444,35.69947168750413,121,199,in,0,,intersection_in,vehicle,POINT (139.64615752774444 35.69947168750413),,440092766,,0.0,residential,,,,121.0
52,139.64615729443815,35.69948054792426,121,242,out,0,,intersection_out,vehicle,POINT (139.64615729443815 35.69948054792426),,440092766,,0.0,residential,,,,121.0
53,139.6461553754939,35.69948052921665,121,242,in,0,,intersection_in,vehicle,POINT (139.6461553754939 35.69948052921665),,440092766,,0.0,residential,,,,121.0
54,139.64616669041325,35.69923066101394,122,199,out,0,,intersection_out,vehicle,POINT (139.64616669041325 35.69923066101394),,1173913703,,0.0,residential,,,,122.0
55,139.6461647722599,35.699230612496216,122,199,in,0,,intersection_in,vehicle,POINT (139.6461647722599 35.699230612496216),,1173913703,,0.0,residential,,,,122.0
56,139.64616531832039,35.69922171767827,122,203,out,0,,intersection_out,vehicle,POINT (139.64616531832039 35.69922171767827),,1173913703,,0.0,residential,,,,122.0
57,139.6461672328196,35.699221825714794,122,203,in,0,,intersection_in,vehicle,POINT (139.6461672328196 35.699221825714794),,1173913703,,0.0,residential,,,,122.0
58,139.6461604427951,35.699226907783796,122,7625,out,0,,intersection_out,vehicle,POINT (139.6461604427951 35.699226907783796),,1173913703,,0.0,residential,,,,122.0
59,139.64616047513394,35.69922534261476,122,7625,in,0,,intersection_in,vehicle,POINT (139.64616047513394 35.69922534261476),,1173913703,,0.0,residential,,,,122.0
60,139.64622748048262,35.69849251260025,123,206,out,0,,intersection_out,vehicle,POINT (139.64622748048262 35.69849251260025),,440092127,,0.0,residential,,,,123.0
61,139.64622939334484,35.69849263828406,123,206,in,0,,intersection_in,vehicle,POINT (139.64622939334484 35.69849263828406),,440092127,,0.0,residential,,,,123.0
62,139.6462285418512,35.698501485642,123,201,out,0,,intersection_out,vehicle,POINT (139.6462285418512 35.698501485642),,440092127,,0.0,residential,,,,123.0
63,139.6462266283789,35.69850136629503,123,201,in,0,,intersection_in,vehicle,POINT (139.6462266283789 35.69850136629503),,440092127,,0.0,residential,,,,123.0
64,139.64623349013527,35.69849648938465,123,208,out,0,,intersection_out,vehicle,POINT (139.64623349013527 35.69849648938465),,440092127,,0.0,residential,,,,123.0
65,139.64623337313668,35.69849805186424,123,208,in,0,,intersection_in,vehicle,POINT (139.64623337313668 35.69849805186424),,440092127,,0.0,residential,,,,123.0
66,139.64678250986546,35.69852541064068,124,208,out,0,,intersection_out,vehicle,POINT (139.64678250986546 35.69852541064068),,440092252,,0.0,residential,,,,124.0
67,139.64678262685345,35.69852384816032,124,208,in,0,,intersection_in,vehicle,POINT (139.64678262685345 35.69852384816032),,440092252,,0.0,residential,,,,124.0
68,139.64679349649032,35.698524437084394,124,210,out,0,,intersection_out,vehicle,POINT (139.64679349649032 35.698524437084394),,440092252,,0.0,residential,,,,124.0
69,139.6467933591084,35.698525998459786,124,210,in,0,,intersection_in,vehicle,POINT (139.6467933591084 35.698525998459786),,440092252,,0.0,residential,,,,124.0
70,139.6467899132752,35.698529128551066,124,214,out,0,,intersection_out,vehicle,POINT (139.6467899132752 35.698529128551066),,440092252,,0.0,residential,,,,124.0
71,139.64678802489152,35.698529407320194,124,214,in,0,,intersection_in,vehicle,POINT (139.64678802489152 35.698529407320194),,440092252,,0.0,residential,,,,124.0
72,139.64678624439676,35.698520626178265,124,226,out,0,,intersection_out,vehicle,POINT (139.64678624439676 35.698520626178265),,440092252,,0.0,residential,,,,124.0
73,139.64678814225311,35.69852039412795,124,226,in,0,,intersection_in,vehicle,POINT (139.64678814225311 35.69852039412795),,440092252,,0.0,residential,,,,124.0
74,139.64721368735954,35.69854896986831,125,209,out,0,,intersection_out,vehicle,POINT (139.64721368735954 35.69854896986831),,1173913726,,0.0,residential,,,,125.0
75,139.64721357871153,35.698550532749486,125,209,in,0,,intersection_in,vehicle,POINT (139.64721357871153 35.698550532749486),,1173913726,,0.0,residential,,,,125.0
76,139.64720270350972,35.69854996293459,125,210,out,0,,intersection_out,vehicle,POINT (139.64720270350972 35.69854996293459),,1173913726,,0.0,residential,,,,125.0
77,139.64720284088372,35.69854840155856,125,210,in,0,,intersection_in,vehicle,POINT (139.64720284088372 35.69854840155856),,1173913726,,0.0,residential,,,,125.0
78,139.64720880621962,35.6985539801589,125,7672,out,0,,intersection_out,vehicle,POINT (139.64720880621962 35.6985539801589),,1173913726,,0.0,residential,,,,125.0
79,139.6472068911632,35.69855387910056,125,7672,in,0,,intersection_in,vehicle,POINT (139.6472068911632 35.69855387910056),,1173913726,,0.0,residential,,,,125.0
80,139.64720783759591,35.69854500233802,125,7676,out,0,,intersection_out,vehicle,POINT (139.64720783759591 35.69854500233802),,1173913726,,0.0,residential,,,,125.0
81,139.64720974528717,35.69854517247363,125,7676,in,0,,intersection_in,vehicle,POINT (139.64720974528717 35.69854517247363),,1173913726,,0.0,residential,,,,125.0
82,139.6475551126411,35.69856633014752,126,209,out,0,,intersection_out,vehicle,POINT (139.6475551126411 35.69856633014752),,1173913729,,0.0,residential,,,,126.0
83,139.64755522128246,35.69856476726592,126,209,in,0,,intersection_in,vehicle,POINT (139.64755522128246 35.69856476726592),,1173913729,,0.0,residential,,,,126.0
84,139.64756203232426,35.6985614466914,126,853,in,0,,intersection_in,vehicle,POINT (139.64756203232426 35.6985614466914),,1173913729,,0.0,residential,,,,126.0
